word,count,timestamp
episode,34,2019-06-01 18:09:35.175254
can,34,2019-06-01 18:09:35.175254
—,31,2019-06-01 18:09:35.175254
tim,25,2019-06-01 18:09:35.175254
show,22,2019-06-01 18:09:35.175254
listen,22,2019-06-01 18:09:35.175254
comments,21,2019-06-01 18:09:35.175254
new,20,2019-06-01 18:09:35.175254
ferriss,19,2019-06-01 18:09:35.175254
favorite,18,2019-06-01 18:09:35.175254
get,17,2019-06-01 18:09:35.175254
podcasts,17,2019-06-01 18:09:35.175254
podcast,17,2019-06-01 18:09:35.175254
stream,16,2019-06-01 18:09:35.175254
apple,15,2019-06-01 18:09:35.175254
download,15,2019-06-01 18:09:35.175254
share,14,2019-06-01 18:09:35.175254
interview,13,2019-06-01 18:09:35.175254
brought,13,2019-06-01 18:09:35.175254
also,13,2019-06-01 18:09:35.175254
one,11,2019-06-01 18:09:35.175254
want,11,2019-06-01 18:09:35.175254
2019,10,2019-06-01 18:09:35.175254
including,10,2019-06-01 18:09:35.175254
watch,10,2019-06-01 18:09:35.175254
youtube,10,2019-06-01 18:09:35.175254
platform,10,2019-06-01 18:09:35.175254
first,10,2019-06-01 18:09:35.175254
linkedin,10,2019-06-01 18:09:35.175254
find,10,2019-06-01 18:09:35.175254
